报告编码,医院_伤害,医院_伤害_input,医院_伤害表现,医院_器械故障表现,医院_使用过程,医院_事件原因分析,医院_事件原因分析描述,企业_伤害表现,企业_伤害_input,企业_器械故障表现,企业_使用过程,企业_事件原因分析
125371806202011468,其他,[CLS]null[SEP]注射器压柄断裂[SEP]提拉压柄更换注射器时压柄断裂[SEP],null,注射器压柄断裂,提拉压柄更换注射器时压柄断裂,产品原因（包括说明书等）,null,null,[CLS]null[SEP]注射器压柄断裂[SEP]提拉压柄更换注射器时压柄断裂[SEP],注射器压柄断裂,提拉压柄更换注射器时压柄断裂,分析可能是压柄受到外力撞击或未按操作提示使用导致损坏
125371806202011469,其他,[CLS]null[SEP]当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注[SEP]设备使用过程中当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注[SEP],null,当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注,设备使用过程中当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注,产品原因（包括说明书等）,null,null,[CLS]null[SEP]当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注[SEP]设备使用过程中当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注[SEP],当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注,设备使用过程中当注射器中药量还剩接近5ml时设备报警注射器未顶紧药物不再输注,1经拆机检查发现内部传递检测信号的线束发生破损导致信号传递异常引发报警2怀疑线束在设备内部受到摩擦导致破损
125371806202011229,其他,[CLS]null[SEP]设备开机报系统故障并注射器推杆座手持操作部位断裂[SEP]准备给患者使用注射泵时开机报系统故障注射器推杆座手持操作部位断裂[SEP],null,设备开机报系统故障并注射器推杆座手持操作部位断裂,准备给患者使用注射泵时开机报系统故障注射器推杆座手持操作部位断裂,产品原因（包括说明书等）,产品质量问题,null,[CLS]null[SEP]设备开机报系统故障并注射器推杆座手持操作部位断裂[SEP]准备给患者使用注射泵时开机报系统故障注射器推杆座手持操作部位断裂[SEP],设备开机报系统故障并注射器推杆座手持操作部位断裂,准备给患者使用注射泵时开机报系统故障注射器推杆座手持操作部位断裂,1拆机检查时发现电机转动时运行模块中的两个部件发生碰撞导致运行异常出现系统故障1报警2经过疲劳测试发现使用ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象在ABS中增加适量玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象推测ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
137610400202011596,其他,[CLS]无[SEP]泵速不符合设定[SEP]患者在使用微量泵过程中泵入得泵速与预设量不相符使用微量泵的目的主要是控制速度泵速过快或过慢都会对患者病情的造成影响发现异常后立即更换1台微量泵使用[SEP],无,泵速不符合设定,患者在使用微量泵过程中泵入得泵速与预设量不相符使用微量泵的目的主要是控制速度泵速过快或过慢都会对患者病情的造成影响发现异常后立即更换1台微量泵使用,无法确定,可能是泵的马达的问题,无,[CLS]无[SEP]泵速不符合设定[SEP]患者在使用微量泵过程中泵入得泵速与预设量不相符使用微量泵的目的主要是控制速度泵速过快或过慢都会对患者病情的造成影响发现异常后立即更换1台微量泵使用[SEP],泵速不符合设定,患者在使用微量泵过程中泵入得泵速与预设量不相符使用微量泵的目的主要是控制速度泵速过快或过慢都会对患者病情的造成影响发现异常后立即更换1台微量泵使用,经过检查发现注射泵对使用的注射器规格不匹配判断可能是未使用该款注射器对注射泵进行校准导致注射泵内部没有记录该款注射器的相关参数引发注射速度偏快
125370604202011243,其他,[CLS]无[SEP]开机蜂鸣报警[SEP]2020年12月2日护士使用威高注射泵时开机报警未产生伤害通知设备科进行维修经工程师检查发现推头故障维修调试后恢复正常使用[SEP],无,开机蜂鸣报警,2020年12月2日护士使用威高注射泵时开机报警未产生伤害通知设备科进行维修经工程师检查发现推头故障维修调试后恢复正常使用,无法确定,推头故障,无,[CLS]无[SEP]开机蜂鸣报警[SEP]2020年12月2日护士使用威高注射泵时开机报警未产生伤害通知设备科进行维修经工程师检查发现推头故障维修调试后恢复正常使用[SEP],开机蜂鸣报警,2020年12月2日护士使用威高注射泵时开机报警未产生伤害通知设备科进行维修经工程师检查发现推头故障维修调试后恢复正常使用,由于该设备已处于超预期寿命使用状态设备部件已老化加上受到了外力的冲击更容易给设备造成伤害
125371100202011401,其他,[CLS]未对患者造成不良影响[SEP]自检不通过[SEP]2020年10月3日设备科工程师在每月设备巡检时发现单道注射泵不能正常开机自检程序不通过无法进行正常操作未对患者造成任何伤害立即安排维修[SEP],未对患者造成不良影响,自检不通过,2020年10月3日设备科工程师在每月设备巡检时发现单道注射泵不能正常开机自检程序不通过无法进行正常操作未对患者造成任何伤害立即安排维修,产品原因（包括说明书等）,传感器故障,未对患者造成不良影响,[CLS]未对患者造成不良影响[SEP]自检不通过[SEP]2020年10月3日设备科工程师在每月设备巡检时发现单道注射泵不能正常开机自检程序不通过无法进行正常操作未对患者造成任何伤害立即安排维修[SEP],自检不通过,2020年10月3日设备科工程师在每月设备巡检时发现单道注射泵不能正常开机自检程序不通过无法进行正常操作未对患者造成任何伤害立即安排维修,由于设备已处于超预期使用状态开机键因反复使用而老化故障导致不能开机
120321432202011039,其他,[CLS]无[SEP]注射泵开机屏闪下泵识别器断裂[SEP]注射泵在准备开机时发现开机屏闪无法正常使用[SEP],无,注射泵开机屏闪下泵识别器断裂,注射泵在准备开机时发现开机屏闪无法正常使用,无法确定,长期使用导致设备老化,无,[CLS]无[SEP]注射泵开机屏闪下泵识别器断裂[SEP]注射泵在准备开机时发现开机屏闪无法正常使用[SEP],注射泵开机屏闪下泵识别器断裂,注射泵在准备开机时发现开机屏闪无法正常使用,由于设备于2012年生产已在医院使用超过7年该注射泵寿命约为5年长期使用显示屏发生老化因此出现显示故障
125371801202011180,其他,[CLS]null[SEP]夹持注射器的夹子断裂[SEP]呼吸内科送来一台注射泵主诉在为患者静推药液时正常操作注射泵的夹子被捏断判断为注射泵夹子塑料太薄所致[SEP],null,夹持注射器的夹子断裂,呼吸内科送来一台注射泵主诉在为患者静推药液时正常操作注射泵的夹子被捏断判断为注射泵夹子塑料太薄所致,产品原因（包括说明书等）,注射泵夹子塑料太薄设计原因,null,[CLS]null[SEP]夹持注射器的夹子断裂[SEP]呼吸内科送来一台注射泵主诉在为患者静推药液时正常操作注射泵的夹子被捏断判断为注射泵夹子塑料太薄所致[SEP],夹持注射器的夹子断裂,呼吸内科送来一台注射泵主诉在为患者静推药液时正常操作注射泵的夹子被捏断判断为注射泵夹子塑料太薄所致,经实验发现目前使用的ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象在ABS中增加适量玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象分析是ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
125371801202011202,其他,[CLS]null[SEP]夹持注射器的夹子断裂[SEP]注射泵在使用过程中夹持注射器的夹子断裂无法使用原因是夹子的材料塑料太薄长时间使用塑料老化所致[SEP],null,夹持注射器的夹子断裂,注射泵在使用过程中夹持注射器的夹子断裂无法使用原因是夹子的材料塑料太薄长时间使用塑料老化所致,产品原因（包括说明书等）,夹子塑料太薄老化,null,[CLS]null[SEP]夹持注射器的夹子断裂[SEP]注射泵在使用过程中夹持注射器的夹子断裂无法使用原因是夹子的材料塑料太薄长时间使用塑料老化所致[SEP],夹持注射器的夹子断裂,注射泵在使用过程中夹持注射器的夹子断裂无法使用原因是夹子的材料塑料太薄长时间使用塑料老化所致,1经疲劳测试我们发现使用ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象在ABS中增加适量玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象2根据以上实验结果分析是ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
125371806202011201,其他,[CLS]null[SEP]注射泵推杆夹断裂[SEP]在准备给患者使用注射泵时往泵上安装注射器时发现推杆夹断裂设备无法使用[SEP],null,注射泵推杆夹断裂,在准备给患者使用注射泵时往泵上安装注射器时发现推杆夹断裂设备无法使用,产品原因（包括说明书等）,null,null,[CLS]null[SEP]注射泵推杆夹断裂[SEP]在准备给患者使用注射泵时往泵上安装注射器时发现推杆夹断裂设备无法使用[SEP],注射泵推杆夹断裂,在准备给患者使用注射泵时往泵上安装注射器时发现推杆夹断裂设备无法使用,经疲劳实验发现使用ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象在ABS中增加适量玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象分析可能是ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
125371703202011167,其他,[CLS]无[SEP]无法固定输液器[SEP]2020年10月12日呼吸内一科医护人员为患者使用注射泵注射液体发现无法将输液器固定随即更换仪器[SEP],无,无法固定输液器,2020年10月12日呼吸内一科医护人员为患者使用注射泵注射液体发现无法将输液器固定随即更换仪器,产品原因（包括说明书等）,输液器固定夹断裂,无,[CLS]无[SEP]无法固定输液器[SEP]2020年10月12日呼吸内一科医护人员为患者使用注射泵注射液体发现无法将输液器固定随即更换仪器[SEP],无法固定输液器,2020年10月12日呼吸内一科医护人员为患者使用注射泵注射液体发现无法将输液器固定随即更换仪器,1经过疲劳测试我们发现使用ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象然后我们在ABS中增加适量玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象2考虑设备已在医院使用3年多分析应该是ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
140654500202011335,其他,[CLS]延误病人治疗[SEP]使用康德莱50ml注射器时脱落报警无法识别[SEP]2020年10月18日我院淋巴瘤内科在病人化疗完后将使用微量泵给病人注射氯化钾使用山东威高微量注射泵型号为WGS1011使用注射器为康德莱50ml注射器在放入注射器以及开机后设备不能设别到注射器的规格因此报警脱落不能正常给病人注射药液延误病人的治疗时机在发生此事件后护士立刻使用其他品牌型号注射泵为病人继续治疗且报修医学工程科[SEP],延误病人治疗,使用康德莱50ml注射器时脱落报警无法识别,2020年10月18日我院淋巴瘤内科在病人化疗完后将使用微量泵给病人注射氯化钾使用山东威高微量注射泵型号为WGS1011使用注射器为康德莱50ml注射器在放入注射器以及开机后设备不能设别到注射器的规格因此报警脱落不能正常给病人注射药液延误病人的治疗时机在发生此事件后护士立刻使用其他品牌型号注射泵为病人继续治疗且报修医学工程科,无法确定,康德莱注射器为防止针管根部断裂加粗了根部的厚度导致注射泵无法识别注射器规格因其他注射泵均能识别注射器规格所以注射泵设计存在相关问题,延误病人治疗,[CLS]延误病人治疗[SEP]使用康德莱50ml注射器时脱落报警无法识别[SEP]2020年10月18日我院淋巴瘤内科在病人化疗完后将使用微量泵给病人注射氯化钾使用山东威高微量注射泵型号为WGS1011使用注射器为康德莱50ml注射器在放入注射器以及开机后设备不能设别到注射器的规格因此报警脱落不能正常给病人注射药液延误病人的治疗时机在发生此事件后护士立刻使用其他品牌型号注射泵为病人继续治疗且报修医学工程科[SEP],使用康德莱50ml注射器时脱落报警无法识别,2020年10月18日我院淋巴瘤内科在病人化疗完后将使用微量泵给病人注射氯化钾使用山东威高微量注射泵型号为WGS1011使用注射器为康德莱50ml注射器在放入注射器以及开机后设备不能设别到注射器的规格因此报警脱落不能正常给病人注射药液延误病人的治疗时机在发生此事件后护士立刻使用其他品牌型号注射泵为病人继续治疗且报修医学工程科,由于该设备处于超预期使用在医院频繁使用没有进行定期维护及校准导致不能识别注射器因而未能正常启动运行
125371101202011175,其他,[CLS]进药快伤害无法预期[SEP]注射泵推药快[SEP]2020年8月2日邢连华因消化道疾病在消化病房住院在使用注射泵时护士发现输液较快经过一系列调整问题仍未解决立即更换设备并报设备科维修未对患者造成伤害[SEP],进药快伤害无法预期,注射泵推药快,2020年8月2日邢连华因消化道疾病在消化病房住院在使用注射泵时护士发现输液较快经过一系列调整问题仍未解决立即更换设备并报设备科维修未对患者造成伤害,产品原因（包括说明书等）,怀疑设备系统故障或主板故障发厂家维修,进药快伤害无法预期,[CLS]进药快伤害无法预期[SEP]注射泵推药快[SEP]2020年8月2日邢连华因消化道疾病在消化病房住院在使用注射泵时护士发现输液较快经过一系列调整问题仍未解决立即更换设备并报设备科维修未对患者造成伤害[SEP],注射泵推药快,2020年8月2日邢连华因消化道疾病在消化病房住院在使用注射泵时护士发现输液较快经过一系列调整问题仍未解决立即更换设备并报设备科维修未对患者造成伤害,由于设备已在医院使用超过6年属于超预期使用状态因缺乏必要的维护保养设备本身校准的注射器参数发生偏移导致流速过快
127740353202011055,其他,[CLS]null[SEP]注射泵拉杆夹子损坏无法夹住注射器[SEP]注射泵拉杆夹子损坏无法夹住注射器[SEP],null,注射泵拉杆夹子损坏无法夹住注射器,注射泵拉杆夹子损坏无法夹住注射器,产品原因（包括说明书等）,注射泵拉杆夹子根部是塑料的老化损坏,null,[CLS]null[SEP]注射泵拉杆夹子损坏无法夹住注射器[SEP]注射泵拉杆夹子损坏无法夹住注射器[SEP],注射泵拉杆夹子损坏无法夹住注射器,注射泵拉杆夹子损坏无法夹住注射器,由于设备已在医院使用超过6年属于超预期使用状态可能是长期频繁使用导致捏柄老化
127420102202011261,其他,[CLS]无[SEP]null[SEP]使用设备时无反应经厂家工程师检测为电源损坏[SEP],无,null,使用设备时无反应经厂家工程师检测为电源损坏,无法确定,null,无,[CLS]无[SEP]null[SEP]使用设备时无反应经厂家工程师检测为电源损坏[SEP],null,使用设备时无反应经厂家工程师检测为电源损坏,1由于该设备已在医院使用超过6年处于超预期使用状态设备前壳压柄因长期使用磨损导致开裂2此台注射泵为2014年前生产属于前壳压柄导向柱变更前2016年的产品此处压柄部位全部由硬塑料注塑而成使用强度上有所欠缺
125371101202011179,其他,[CLS]无[SEP]不开机[SEP]2020年7月28日孙有才因甲状腺结节来我院内分泌住院治疗在使用注射泵时设备无法开机影响患者治疗过程立即更换设备并报设备科维修未对患者造成伤害[SEP],无,不开机,2020年7月28日孙有才因甲状腺结节来我院内分泌住院治疗在使用注射泵时设备无法开机影响患者治疗过程立即更换设备并报设备科维修未对患者造成伤害,产品原因（包括说明书等）,电源线损坏,无,[CLS]无[SEP]不开机[SEP]2020年7月28日孙有才因甲状腺结节来我院内分泌住院治疗在使用注射泵时设备无法开机影响患者治疗过程立即更换设备并报设备科维修未对患者造成伤害[SEP],不开机,2020年7月28日孙有才因甲状腺结节来我院内分泌住院治疗在使用注射泵时设备无法开机影响患者治疗过程立即更换设备并报设备科维修未对患者造成伤害,经过调查应是与其他设备混用电源线导致电源短路无法正常供电
125370701202011136,其他,[CLS]无[SEP]微量注射泵的固定夹从根部断裂无法修复[SEP]2020年07月28日上午0956器械科接到泌尿脑外科报修电话称科室内微量注射泵的固定夹断了工程师到科室内查看设备发现微量泵固定注射器推杆的固定夹有一半从根部断裂完全无法修复只能更换配件经过询问得知操作护士并未存在过度用力现象常规操作的情况下该部位不应该有断裂建议生产厂家对该部位进行加固或者更换材料加以改进目前该泵已更换配件维修好可正常使用[SEP],无,微量注射泵的固定夹从根部断裂无法修复,2020年07月28日上午0956器械科接到泌尿脑外科报修电话称科室内微量注射泵的固定夹断了工程师到科室内查看设备发现微量泵固定注射器推杆的固定夹有一半从根部断裂完全无法修复只能更换配件经过询问得知操作护士并未存在过度用力现象常规操作的情况下该部位不应该有断裂建议生产厂家对该部位进行加固或者更换材料加以改进目前该泵已更换配件维修好可正常使用,产品原因（包括说明书等）,经过询问得知操作护士并未存在过度用力现象常规操作的情况下该部位不应该有断裂建议生产厂家对该部位进行加固或者更换材料加以改进目前该泵已更换配件维修好可正常使用,无,[CLS]无[SEP]微量注射泵的固定夹从根部断裂无法修复[SEP]2020年07月28日上午0956器械科接到泌尿脑外科报修电话称科室内微量注射泵的固定夹断了工程师到科室内查看设备发现微量泵固定注射器推杆的固定夹有一半从根部断裂完全无法修复只能更换配件经过询问得知操作护士并未存在过度用力现象常规操作的情况下该部位不应该有断裂建议生产厂家对该部位进行加固或者更换材料加以改进目前该泵已更换配件维修好可正常使用[SEP],微量注射泵的固定夹从根部断裂无法修复,2020年07月28日上午0956器械科接到泌尿脑外科报修电话称科室内微量注射泵的固定夹断了工程师到科室内查看设备发现微量泵固定注射器推杆的固定夹有一半从根部断裂完全无法修复只能更换配件经过询问得知操作护士并未存在过度用力现象常规操作的情况下该部位不应该有断裂建议生产厂家对该部位进行加固或者更换材料加以改进目前该泵已更换配件维修好可正常使用,1针对捏柄开裂的问题技术人员使用出现开裂现象的同类捏柄其材质为ABS硬塑料内嵌金属预埋件进行疲劳实验在经过数万次捏合后会出现开裂现象2将捏柄的注塑材质改为尼龙玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象3结论ABS硬塑料内嵌金属预埋件材质注塑的捏柄强度不够造成捏柄开裂
134523000202011082,其他,[CLS]null[SEP]尾夹断离[SEP]202007161000责任护士加药NS50ml氯化钾2g20mlh泵完药更换注射器时尾夹断离电话23233988报告设备科同时报告护士长科主任[SEP],null,尾夹断离,202007161000责任护士加药NS50ml氯化钾2g20mlh泵完药更换注射器时尾夹断离电话23233988报告设备科同时报告护士长科主任,产品原因（包括说明书等）,null,null,[CLS]null[SEP]尾夹断离[SEP]202007161000责任护士加药NS50ml氯化钾2g20mlh泵完药更换注射器时尾夹断离电话23233988报告设备科同时报告护士长科主任[SEP],尾夹断离,202007161000责任护士加药NS50ml氯化钾2g20mlh泵完药更换注射器时尾夹断离电话23233988报告设备科同时报告护士长科主任,经过分析和实验我们发现使用ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象然后我们改用尼龙玻纤再按相同工艺制作捏柄做对比实验没有出现开裂现象因此怀疑ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
134523000202010066,其他,[CLS]null[SEP]注射泵尾夹断离[SEP]202007061600责任护士加药NS40ml奥美拉唑40mg8mlh更换注射器时注射泵尾夹断离电话7002报告设备科同时报告护士长科主任[SEP],null,注射泵尾夹断离,202007061600责任护士加药NS40ml奥美拉唑40mg8mlh更换注射器时注射泵尾夹断离电话7002报告设备科同时报告护士长科主任,产品原因（包括说明书等）,null,null,[CLS]null[SEP]注射泵尾夹断离[SEP]202007061600责任护士加药NS40ml奥美拉唑40mg8mlh更换注射器时注射泵尾夹断离电话7002报告设备科同时报告护士长科主任[SEP],注射泵尾夹断离,202007061600责任护士加药NS40ml奥美拉唑40mg8mlh更换注射器时注射泵尾夹断离电话7002报告设备科同时报告护士长科主任,经过分析和实验我们发现使用ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象研发工程师调整了注塑材料采用尼龙玻纤材质再按相同工艺制作捏柄做对比实验没有出现开裂现象因此怀疑ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
134523000202011099,其他,[CLS]null[SEP]报警故障[SEP]2020年8月29日23时48分医生查看32床患儿在患儿左侧肺部可闻及湿啰音遵医嘱予多巴酚丁胺45mg5葡萄糖注射液10ml微泵泵入护理人员遵医嘱按规范使用注射泵静脉输液治疗因药物特殊必须使用注射泵行输液治疗在使用前护理人员将注射泵开机检查是否完好发现注射泵无储电功能及报警音护理人员及时发现未给患者造成影响并立即更换输液泵故障的输液泵按医院要求送设备科修检[SEP],null,报警故障,2020年8月29日23时48分医生查看32床患儿在患儿左侧肺部可闻及湿啰音遵医嘱予多巴酚丁胺45mg5葡萄糖注射液10ml微泵泵入护理人员遵医嘱按规范使用注射泵静脉输液治疗因药物特殊必须使用注射泵行输液治疗在使用前护理人员将注射泵开机检查是否完好发现注射泵无储电功能及报警音护理人员及时发现未给患者造成影响并立即更换输液泵故障的输液泵按医院要求送设备科修检,产品原因（包括说明书等）,null,null,[CLS]null[SEP]报警故障[SEP]2020年8月29日23时48分医生查看32床患儿在患儿左侧肺部可闻及湿啰音遵医嘱予多巴酚丁胺45mg5葡萄糖注射液10ml微泵泵入护理人员遵医嘱按规范使用注射泵静脉输液治疗因药物特殊必须使用注射泵行输液治疗在使用前护理人员将注射泵开机检查是否完好发现注射泵无储电功能及报警音护理人员及时发现未给患者造成影响并立即更换输液泵故障的输液泵按医院要求送设备科修检[SEP],报警故障,2020年8月29日23时48分医生查看32床患儿在患儿左侧肺部可闻及湿啰音遵医嘱予多巴酚丁胺45mg5葡萄糖注射液10ml微泵泵入护理人员遵医嘱按规范使用注射泵静脉输液治疗因药物特殊必须使用注射泵行输液治疗在使用前护理人员将注射泵开机检查是否完好发现注射泵无储电功能及报警音护理人员及时发现未给患者造成影响并立即更换输液泵故障的输液泵按医院要求送设备科修检,1由于电源模块是手工焊接存在虚焊的可能且此种现象不易检查随着产品长期使用而显现2跟踪同期投入使用以及过往的产品没有出现类似故障判断该现象属于生产过程中的偶发不良发生概率极低
134523000202011101,其他,[CLS]null[SEP]泵尾夹断离[SEP]20200940100责任护士加药NS50ml胰岛素50单位泵5mlh更换注射器时发现泵尾夹断离电话7002报告设备科同时报告护士长科主任[SEP],null,泵尾夹断离,20200940100责任护士加药NS50ml胰岛素50单位泵5mlh更换注射器时发现泵尾夹断离电话7002报告设备科同时报告护士长科主任,产品原因（包括说明书等）,null,null,[CLS]null[SEP]泵尾夹断离[SEP]20200940100责任护士加药NS50ml胰岛素50单位泵5mlh更换注射器时发现泵尾夹断离电话7002报告设备科同时报告护士长科主任[SEP],泵尾夹断离,20200940100责任护士加药NS50ml胰岛素50单位泵5mlh更换注射器时发现泵尾夹断离电话7002报告设备科同时报告护士长科主任,1经过疲劳测试我们发现使用ABS硬塑料内嵌金属预埋件材质制作的捏柄在经过数万次捏合后可能会出现开裂现象2将捏柄注塑材质改为尼龙玻纤做对比实验在相同实验条件下没有出现开裂现象因此怀疑ABS硬塑料内嵌金属预埋件材质强度不够造成捏柄开裂
125371806202011414,其他,[CLS]null[SEP]设备系统故障报警[SEP]准备给患者使用注射泵时开机双道报系统故障[SEP],null,设备系统故障报警,准备给患者使用注射泵时开机双道报系统故障,产品原因（包括说明书等）,null,null,[CLS]null[SEP]设备系统故障报警[SEP]准备给患者使用注射泵时开机双道报系统故障[SEP],设备系统故障报警,准备给患者使用注射泵时开机双道报系统故障,可能是设置的流速较低1mLh启动后机械传动结构尚未完全咬合导致软件系统判定为运行模块发生故障引起的误报警
125371703202011206,严重伤害,[CLS]未造成伤害可能会延误患者病情的治疗[SEP]报警阻塞停止工作[SEP]2020年12月2日普外科医护人员使用注射泵为患者注射液体使用过程中注射泵报警阻塞停止工作医护人员调试后故障无法消除更换设备继续为患者注射[SEP],未造成伤害可能会延误患者病情的治疗,报警阻塞停止工作,2020年12月2日普外科医护人员使用注射泵为患者注射液体使用过程中注射泵报警阻塞停止工作医护人员调试后故障无法消除更换设备继续为患者注射,产品原因（包括说明书等）,工程师到场检修发现注射条件可判断为系统误报警调试后无法解除故障,未造成伤害可能会延误患者病情的治疗,[CLS]未造成伤害可能会延误患者病情的治疗[SEP]报警阻塞停止工作[SEP]2020年12月2日普外科医护人员使用注射泵为患者注射液体使用过程中注射泵报警阻塞停止工作医护人员调试后故障无法消除更换设备继续为患者注射[SEP],报警阻塞停止工作,2020年12月2日普外科医护人员使用注射泵为患者注射液体使用过程中注射泵报警阻塞停止工作医护人员调试后故障无法消除更换设备继续为患者注射,院方上报为严重伤害我公司认为应改为其他1经过拆机检查发现压力传感器出现故障造成误报警2由于此台注射泵已在医院使用超过7年处于超预期使用状态压力传感器因老化而发生故障
129442557202011204,严重伤害,[CLS]可能对患者造成严重伤害[SEP]设置时间及速度与实际入量不符[SEP]患者于202011151210入院诊断为急性心肌梗死按医嘱予阿替普酶静脉内溶栓治疗药物使用微泵控速使用注射器及电源仪器卡槽均无异常使用过程中设置时间及速度与实际入量不符影响药物治疗疾病的疗效耽误病情的诊疗[SEP],可能对患者造成严重伤害,设置时间及速度与实际入量不符,患者于202011151210入院诊断为急性心肌梗死按医嘱予阿替普酶静脉内溶栓治疗药物使用微泵控速使用注射器及电源仪器卡槽均无异常使用过程中设置时间及速度与实际入量不符影响药物治疗疾病的疗效耽误病情的诊疗,产品原因（包括说明书等）,null,可能对患者造成严重伤害,[CLS]可能对患者造成严重伤害[SEP]设置时间及速度与实际入量不符[SEP]患者于202011151210入院诊断为急性心肌梗死按医嘱予阿替普酶静脉内溶栓治疗药物使用微泵控速使用注射器及电源仪器卡槽均无异常使用过程中设置时间及速度与实际入量不符影响药物治疗疾病的疗效耽误病情的诊疗[SEP],设置时间及速度与实际入量不符,患者于202011151210入院诊断为急性心肌梗死按医嘱予阿替普酶静脉内溶栓治疗药物使用微泵控速使用注射器及电源仪器卡槽均无异常使用过程中设置时间及速度与实际入量不符影响药物治疗疾病的疗效耽误病情的诊疗,该设备在医院使用近6年处于超预期使用状态可能是设备在使用转运过程中受到碰撞导致压柄断裂造成注射器规格的错误识别该不良事件后果不符合严重伤害的定义应为其它
113130100202012348,其他,[CLS]null[SEP]堵塞报警[SEP]正常开机正常使用中突然报警显示堵塞立即联系维修[SEP],null,堵塞报警,正常开机正常使用中突然报警显示堵塞立即联系维修,产品原因（包括说明书等）,正常开机正常使用中突然报警显示堵塞立即联系维修,null,[CLS]null[SEP]堵塞报警[SEP]正常开机正常使用中突然报警显示堵塞立即联系维修[SEP],堵塞报警,正常开机正常使用中突然报警显示堵塞立即联系维修,由于此台注射泵已在医院使用超过8年处于超预期使用状态注射泵由于长期使用后维护保养不足导致内部压力检测参数出现偏差所以发生了误报警
113130100202012245,其他,[CLS]null[SEP]报堵塞[SEP]使用过程中突然报警显示堵塞立即联系维修更换输液泵继续为患者治疗[SEP],null,报堵塞,使用过程中突然报警显示堵塞立即联系维修更换输液泵继续为患者治疗,产品原因（包括说明书等）,使用过程中突然报警显示堵塞立即联系维修更换输液泵继续为患者治疗,null,[CLS]null[SEP]报堵塞[SEP]使用过程中突然报警显示堵塞立即联系维修更换输液泵继续为患者治疗[SEP],报堵塞,使用过程中突然报警显示堵塞立即联系维修更换输液泵继续为患者治疗,由于设备已在医院使用8年以上处于超预期使用状态设备内部的压力检测值可能因缺乏校准维护导致出现偏差引发了误报警
113130100202012345,其他,[CLS]null[SEP]控制板按键不能用[SEP]正常开机的情况下控制板按键不能用因此更换注射泵并立即联系维修[SEP],null,控制板按键不能用,正常开机的情况下控制板按键不能用因此更换注射泵并立即联系维修,产品原因（包括说明书等）,正常开机的情况下控制板按键不能用因此更换注射泵并立即联系维修,null,[CLS]null[SEP]控制板按键不能用[SEP]正常开机的情况下控制板按键不能用因此更换注射泵并立即联系维修[SEP],控制板按键不能用,正常开机的情况下控制板按键不能用因此更换注射泵并立即联系维修,由于产品已在医院使用超过8年处于超预期使用状态启动键长期频繁使用老化故障
125370509202011524,其他,[CLS]null[SEP]D0101_故障提示D040305_分配不准[SEP]20201019白班期间为降低患者血压遵医嘱给予降压药物泵入泵入的药物未达到设定速度且微量泵报警提示音消音护理人员发现及时并及时更换并未给患者造成任何影响[SEP],null,D0101_故障提示D040305_分配不准,20201019白班期间为降低患者血压遵医嘱给予降压药物泵入泵入的药物未达到设定速度且微量泵报警提示音消音护理人员发现及时并及时更换并未给患者造成任何影响,产品原因（包括说明书等）,输液泵剂量校准故障,null,[CLS]null[SEP]D0101_故障提示D040305_分配不准[SEP]20201019白班期间为降低患者血压遵医嘱给予降压药物泵入泵入的药物未达到设定速度且微量泵报警提示音消音护理人员发现及时并及时更换并未给患者造成任何影响[SEP],D0101_故障提示D040305_分配不准,20201019白班期间为降低患者血压遵医嘱给予降压药物泵入泵入的药物未达到设定速度且微量泵报警提示音消音护理人员发现及时并及时更换并未给患者造成任何影响,1由于此台设备已在医院使用超过6年处于超预期使用状态设备上的喇叭老化故障不能正常发声2设备长期使用维护保养不足没有进行定期校准所以导致流速过快提前完成给药
